date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:59:40	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	http://marianodigabriele.com/wp-includes/wlwmanifest.xml	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-includes/wlwmanifest.xml	(from http://marianodigabriele.com/)
09:59:42	2190/2190	---MC-	200	added ('OK')	application/json	date:Sun,%2006%20May%202018%2013:59:39%20GMT	http://marianodigabriele.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Fmarianodigabriele.com%2F	/Users/xbw881/websites/mariano/marianodigabriele.com/indexca18.json	(from http://marianodigabriele.com/)
09:59:43	2292/2292	---MCZ	200	added ('OK')	text/xml	date:Sun,%2006%20May%202018%2013:59:41%20GMT	http://marianodigabriele.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Fmarianodigabriele.com%2F&format=xml	/Users/xbw881/websites/mariano/marianodigabriele.com/index4130.php	(from http://marianodigabriele.com/)
09:59:45	3872/3872	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202018%2001:06:39%20GMT	http://marianodigabriele.com/wp-content/uploads/2015/09/Logo_theCORE_retina.png	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/uploads/2015/09/Logo_theCORE_retina.png	(from http://marianodigabriele.com/)
09:59:45	73/73	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202018%2000:49:42%20GMT	http://marianodigabriele.com/wp-content/plugins/revslider/admin/assets/images/dummy.png	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/revslider/admin/assets/images/dummy.png	(from http://marianodigabriele.com/)
09:59:49	106089/106089	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20May%202018%2013:59:44%20GMT	http://marianodigabriele.com/?page_id=3074	/Users/xbw881/websites/mariano/marianodigabriele.com/index6e0f.html	(from http://marianodigabriele.com/)
09:59:51	154488/154488	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20May%202018%2013:59:44%20GMT	http://marianodigabriele.com/?page_id=3071	/Users/xbw881/websites/mariano/marianodigabriele.com/indexabdb.html	(from http://marianodigabriele.com/)
09:59:51	95647/95647	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20May%202018%2013:59:45%20GMT	http://marianodigabriele.com/?page_id=3379	/Users/xbw881/websites/mariano/marianodigabriele.com/indexe059.html	(from http://marianodigabriele.com/)
09:59:55	70759/70759	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20May%202018%2013:59:50%20GMT	http://marianodigabriele.com/?page_id=3545	/Users/xbw881/websites/mariano/marianodigabriele.com/index9c02.html	(from http://marianodigabriele.com/)
10:00:27	363507/363507	---MC-	200	added ('OK')	application/json	date:Sun,%2006%20May%202018%2013:59:36%20GMT	http://marianodigabriele.com/index.php?rest_route=/	/Users/xbw881/websites/mariano/marianodigabriele.com/index52f0.json	(from http://marianodigabriele.com/)
